date,time,customer id,branch,customer name,age,sex,education,course,subject,type,hours,total cost,membership,gift voucher
01/10/2023,10:48 am,1,Ladkrabang,Ruth Block,9,F,Primary,1 day miracle,Language,online,3 pm - 4 pm,490,Premium,200
31/08/2023,3:42 pm,2,Bangkrapi,Hattie Bruen,20,F,Bachelor,1 week marathon,Social Studies,onsite,3 pm - 4 pm,2990,None,100
05/11/2023,9:37 am,3,Ekkamai,Angelina Bernier,12,F,Primary,1 month pack,Social Studies,onsite,8 pm - 9 pm,8990,Premium,200
29/10/2023,9:57 am,4,Samyan,Virginia Dach,8,F,Primary,1 month pack,Math,online,2 pm - 3 pm,8990,Standard,500
04/06/2023,8:02 am,5,Ekkamai,Hubert Kerluke,14,M,Vocational,2 week fornight,Social Studies,online,8 am - 9 am,5990,Standard,200
28/03/2023,9:09 am,6,Ekkamai,Henry Reilly,11,M,Primary,1 month pack,Language,onsite,9 pm - 10 pm,8990,Premium,1000
18/11/2023,6:06 pm,7,Samyan,Alicia Kreiger,20,F,Bachelor,1 day miracle,Social Studies,onsite,3 pm - 4 pm,490,Standard,500
23/01/2023,11:30 am,8,Samyan,Frank Schmeler-Collins,13,M,GED,2 week fornight,Science,online,12 pm - 1 pm,5990,Standard,500
13/01/2023,3:15 pm,9,Ekkamai,Paulette Koss,18,F,Secondary,1 day miracle,Math,onsite,2 pm - 3 pm,490,Standard,100
01/11/2023,12:01 pm,10,Ekkamai,Herbert Howell,10,M,Primary,1 month pack,Science,online,8 am - 9 am,8990,Standard,100
07/07/2023,5:28 pm,11,Samyan,Darin Bechtelar,15,M,Vocational,2 week fornight,Science,online,4 pm - 5 pm,5990,Standard,100
20/10/2023,2:09 pm,12,Samyan,Kellie Volkman,17,F,GED,1 day miracle,Math,onsite,3 pm - 4 pm,490,Premium,100
17/06/2023,9:46 pm,13,Samyan,Alfonso Dach,7,M,Primary,1 month pack,Science,onsite,7 pm - 8 pm,8990,Standard,100
15/07/2023,9:55 am,14,Ladkrabang,Roosevelt Trantow,16,M,Secondary,1 day miracle,Math,onsite,12 pm - 1 pm,490,Premium,100
03/04/2023,4:55 pm,15,Ekkamai,Robin Davis,7,M,Primary,2 week fornight,Math,onsite,12 pm - 1 pm,5990,None,200
29/09/2023,7:20 pm,16,Ladkrabang,Bobbie Nitzsche,20,F,Bachelor,1 month pack,Math,onsite,7 pm - 8 pm,8990,None,200
15/08/2023,6:26 pm,17,Bangkrapi,Alejandro Bahringer,20,M,Bachelor,1 day miracle,Language,onsite,2 pm - 3 pm,490,None,200
01/07/2023,10:43 am,18,Ladkrabang,Ron Mohr,18,M,Vocational,1 week marathon,Science,onsite,10 am - 11 am,2990,Standard,100
01/05/2023,10:42 am,19,Samyan,Amber Gibson,20,F,Bachelor,1 month pack,Math,onsite,10 am - 11 am,8990,None,100
